mag_and_cluster	MPA900_1	MPA900_2	NPA900_1	NPA900_2	MFL900_1	MFL900_2	NFL900_1	NFL900_2
MAG_1010_21;RRE-containing	0	0	0	0	0	0	0	0.0691844039604743
MAG_975_44;terpene	0	0	0	0	0.08277477834834703	0	0	0
MAG_1594_11;hglE-KS	0.09954104633553518	0	0	0	0	0	0	0
MAG_193_47;arylpolyene	0	0	0	0	0	0	0	0.10171101153631795
MAG_1510_10;T1PKS	0	0	0	0	0.1086331111168333	0	0	0
MAG_213_9;proteusin	0	0	0	0	0	0	0	0.10876918676379489
MAG_942_66;RRE-containing	0	0	0	0	0	0.12118475550699175	0	0
MAG_1510_18;NRPS	0	0	0	0	0.12146255044786955	0	0	0
MAG_358_17;ladderane	0	0.12859698527278693	0	0	0	0	0	0
MAG_115_159;resorcinol	0	0	0	0	0.15175863196589395	0	0	0
MAG_623_14;ranthipeptide	0	0.17189844078464492	0	0	0	0	0	0
MAG_423_29;RRE-containing	0	0.17984857231829118	0	0	0	0	0	0
MAG_645_21;terpene	0	0	0	0	0	0.18176908210164824	0	0
MAG_975_89;ranthipeptide	0	0.18782517539804439	0	0	0	0	0	0
MAG_330_52;betalactone	0	0	0	0	0.1960109500992658	0	0	0
MAG_379_1;terpene	0	0.21258808133598936	0	0	0	0	0	0
MAG_1007_14;ranthipeptide	0	0	0	0	0	0	0.24441307865391734	0
MAG_213_2;phosphonate	0	0	0	0	0	0	0	0.24779405744814587
MAG_163_3;ranthipeptide	0	0.2535715718605372	0	0	0	0	0	0
MAG_109_5;NRPS-like	0	0	0	0	0	0	0	0.2600562989965022
MAG_629_6;terpene	0	0	0	0	0.2632857115406461	0	0	0
MAG_171_64;hglE-KS	0	0	0	0	0.2642230615968519	0	0	0
MAG_583_7;RRE-containing	0.3099101561614835	0	0	0	0	0	0	0
MAG_599_13;PUFA	0	0	0	0	0.31034463424034897	0	0	0
MAG_1131_1;NRPS-like	0	0	0	0	0	0	0.31714331051010075	0
MAG_1285_3;arylpolyene	0	0.14352010290330267	0	0	0.20937560083926537	0	0	0
MAG_907_7;ranthipeptide	0	0.32875320010328324	0	0	0	0	0	0
MAG_1208_7;T1PKS	0	0	0	0	0.08915535318965079	0	0	0.26288080807043573
MAG_1510_12;NRPS-like	0	0	0	0	0.3477376779131154	0	0	0
MAG_215_34;hglE-KS	0.2753982709930394	0.058548903922145894	0	0	0	0.04004190812316871	0	0
MAG_914_3;ranthipeptide	0.35882996500977365	0	0	0	0	0	0	0
MAG_479_9;NRPS-like	0	0.39699016393503705	0	0	0	0	0	0
MAG_975_12;RRE-containing	0	0.11446746741997976	0	0	0.33592319942331444	0	0	0
MAG_213_2;redox-cofactor	0	0	0	0	0	0	0.18041669036900052	0.31122865730335625
MAG_573_1;phosphonate	0	0.446624052426099	0	0	0	0	0	0
MAG_62_2;sactipeptide	0.4506815127275146	0	0	0	0	0	0	0
MAG_599_30;NRPS-like	0	0	0	0	0.29600214337258923	0.2370211337598044	0	0
MAG_737_37;betalactone	0.3415504571799378	0.2149020661152124	0	0	0	0	0	0
MAG_32_8;NRPS-like	0	0.5028087744081271	0	0	0	0	0	0
MAG_379_1;NRPS-like	0.5327177356088442	0	0	0	0	0	0	0
MAG_1208_5;RRE-containing	0	0	0.4568710151335295	0.18534757561499618	0	0	0	0
MAG_341_1;NRPS-like	0.16530965537422687	0.29652085723477445	0	0	0	0.2313444999143257	0	0
MAG_1067_2;thiopeptide	0	0	0	0	0.583618716964461	0	0	0
MAG_114_1;ladderane	0.29043910283010904	0.15878488369711563	0	0	0	0	0.263949581432198	0
MAG_1441_14;terpene	0.600421432766145	0	0	0	0	0	0	0
MAG_557_13;RRE-containing	0	0	0	0	0.4494610914500047	0.2337327765931508	0	0
MAG_112_8;NRPS-like	0	0.6158491103218382	0	0	0	0	0	0
MAG_773_1;redox-cofactor	0	0	0	0	0.2148898698817362	0	0.329947428847864	0.22574514082713854
MAG_171_65;betalactone	0	0	0	0	0.15507709111830126	0.5523701290863123	0	0
MAG_313_16;nucleoside	0.6450782178919099	0	0	0	0	0	0	0
MAG_573_22;RRE-containing	0	0.6466098839604175	0	0	0	0	0	0
MAG_623_5;ranthipeptide	0.2798955763404803	0.46367331343176604	0	0	0	0	0	0
MAG_62_15;NRPS-like	0.15985101564209242	0.5572564426970035	0	0	0	0	0	0
MAG_916_14;proteusin	0	0	0	0.5914395113696973	0	0	0.12213457465628967	0
MAG_754_18;arylpolyene	0.2615512374664302	0	0	0	0	0.49942856896932014	0	0
MAG_1510_21;hglE-KS	0	0	0	0	0	0.6704372930309691	0	0
MAG_791_3;NRPS-like	0	0	0	0	0	0.6881159086889926	0	0
MAG_554_1;ranthipeptide	0.26140360400912255	0.10826029719223774	0	0	0.3581329662544558	0.20966340003308812	0	0
MAG_611_38;NRPS-like	0.41171729770180976	0.17115435564638262	0	0	0	0.45187531071484266	0	0
MAG_24_5;hglE-KS	0.06920367491494413	0.724122246335542	0	0	0.06435513253037926	0.07198955526257599	0	0
MAG_1422_1;NRPS-like	0.5075746958773644	0.45206087733989725	0	0	0	0	0.09088105401155519	0
MAG_591_11;RRE-containing	0.848818170998387	0	0	0	0	0	0	0
MAG_1263_2;thiopeptide	0.7696783915878638	0.2001963807838945	0	0	0	0	0	0
MAG_567_5;NRPS-like	0	0.869676934117052	0	0	0	0	0	0
MAG_1562_79;RRE-containing	0	0	0	0	0.5392074971531475	0.5262679254272664	0	0
MAG_771_5;PBDE	0	0.34347078792686014	0	0	0.19307431253976748	0.5792090272336115	0	0
MAG_791_5;NRPS-like	0	0	0	0	0	0.8848164556053465	0	0
MAG_815_5;ranthipeptide	0.09213178596954404	0.7646929663304172	0	0	0.20675650444369645	0	0	0
MAG_183_2;phosphonate	0	0	0	0	0.6148674408765529	0.509556338770917	0	0
MAG_654_8;RRE-containing	0.6164004636510028	0.5852240281354628	0	0	0	0.10523884765108954	0	0
MAG_51_17;RRE-containing	1.0191821453876693	0	0	0	0	0	0	0
MAG_1535_171;hglE-KS	0	0	0	0	0.6068939180070654	0.6806442581157045	0	0
MAG_43_2;RRE-containing	0	0	0	0	0	1.0988689946744088	0	0
MAG_1398_5;betalactone	0.2847183307705028	0	0	0	0.41206684300716284	0.8049360634688933	0	0
MAG_864_3;acyl_amino_acids	0	0	0.993133627042128	0	0	0	0.16195649580247426	0.2105845132748087
MAG_599_25;NRPS-like	0	0.364363954930885	0	0	0.896629967035157	0.20911921690464902	0	0
MAG_623_3;ranthipeptide	0	1.148274906183105	0	0	0	0	0	0
MAG_109_5;NRPS	0	0	0	0.050444865516154506	0	0	1.0021832630843805	0.4198074836375062
MAG_1441_1;RRE-containing	1.2074300034860415	0	0	0	0	0	0	0
MAG_815_2;terpene	1.2297154102579995	0	0	0	0	0	0	0
MAG_755_3;NRPS-like	0.9498813238738966	0.647432651282832	0	0	0	0	0	0
MAG_1535_11;hserlactone	0	0	0	0	0.4600599919743869	1.0750185405809318	0	0
MAG_599_3;arylpolyene	0	0	0	0	0.5760136932656574	1.044431741463343	0	0
MAG_1079_2;ranthipeptide	1.1217724762852408	0.5256297333908883	0	0	0	0	0	0
MAG_109_35;NRPS-like	0	0	0	0	0	0	0.6544497851409361	1.0507689401456806
MAG_861_7;thiopeptide	0.6330348347657434	1.071173334714954	0	0	0	0	0	0
MAG_163_5;NRPS-like	0.6521717438945508	1.0656001471213399	0	0	0	0	0	0
MAG_1396_124;ranthipeptide	0.4574358534401811	0.4254277764427327	0	0	0.6929602786599319	0.5653005734979952	0	0
MAG_623_17;ladderane	0.20092196385450986	1.3215941454989197	0	0	0	0	0	0
MAG_895_5;phosphonate	1.2243621801153426	0.48709995918795024	0	0	0	0	0	0
MAG_1566_6;ranthipeptide	1.2285894498121819	0.5216244269989049	0	0	0	0	0	0
MAG_815_2;NRPS-like	1.3659257790395374	0	0	0	0.2794712960007452	0	0	0
MAG_24_17;RRE-containing	1.4683694541521854	0	0	0	0	0	0	0
MAG_1396_31;betalactone	0.7823269544583966	0	0	0	0.9173842660532476	0.5463677006810023	0	0
MAG_504_62;arylpolyene	0.8775680491998812	0.9872390100179482	0	0	0	0.3134400954499577	0	0
MAG_629_15;betalactone	0	0.1952495320751711	0	0	0.7042398277765878	1.1749276089702247	0	0
