mag_and_cluster	MPA295_1	MPA295_2	NPA247_1	NPA247_2	MPA314_1	MPA314_2	NPA267_1	NPA267_2	MFL295_1	MFL295_2	NFL247_1	NFL247_2	MFL314_1	MFL314_2	NFL267_1	NFL267_2
MAG_293_48;hglE-KS	0	0	0	0	0	0	0	0.25515947715002574	1.400925641888097	1.0111794268917482	1.664645233617549	1.523496262240998	0.3783362497789975	0.09183204205474797	2.6312482600590634	1.9734099128450948
MAG_2_25;T1PKS	0	0	0	0	0.33993842794846035	0	0	0	1.2979666338497073	1.2592292534437486	1.5910551503129675	0.9122714393985759	0.1252296392778338	0.22421783311518997	2.725250274775968	2.2672150987510595
MAG_16_86;betalactone	0	0	0	0	0	0	0.58414635298359	0	1.9825602603924082	2.503550594248357	1.9825895439365664	2.1624888835620593	2.4968410293422103	2.569324324961989	1.4853874370543116	1.5165135317933875
MAG_864_2;terpene	0	1.9366103835008686	0	0	1.946169778151646	1.1135674747731348	0	0	2.899688471592785	3.072526501006986	0.7078402247219985	0.33561252055131346	1.617158481308388	2.159643256913617	0	0
MAG_774_11;indole	1.1650982508096406	1.1987021307540122	0.2554111447032743	0	0.7827208586001425	0	0.5552418564534786	0.1819677305116551	2.502031950281862	2.7615772198687107	2.025662350535349	1.6520234518896726	1.251799824289192	0.9427135824408198	2.4738274089368835	2.2469555649019273
MAG_1208_62;ladderane	0	0.7203309765129275	0.8516357978749776	0	0	2.8830683233347143	0	0	0.38718189280042326	0.566302256150196	2.317822831293629	1.627054638401721	1.6399351065183432	3.676524782115678	0.6055536152938298	0
MAG_1208_7;NRPS	1.3878746298471956	1.318158330199773	1.3653780654831744	0.4543539906618481	1.6930676680888137	2.053147955322903	0	0	1.7702841778145444	1.7970719981432024	2.4760961896448896	1.7984905382076928	2.3898371362357578	3.009984231218057	1.5257026579237216	0.8552626319249039
MAG_1679_34;terpene	1.0615298892118255	0.659405401766631	0.6887384914576997	1.0359323387493737	0	0	0.5563329429186805	0.8077973263389319	2.313331385935332	2.3525267600564566	2.494673488727971	2.6876169640143486	1.3949276243237425	1.0528452599417788	2.5446857675618166	3.3007770560881626
MAG_1679_42;terpene	0	0.5193642288484014	1.0236829802640603	0	0	0	1.4533866835056082	0.7107824430624738	2.5051009315008295	2.4011992480586546	2.7284644001533964	2.6538647738078582	1.1141974246952528	0.9968753347012673	2.811681015788645	3.119986048064449
MAG_774_62;terpene	0	0.8636133960858458	0.587986454392284	0.7302504923514713	0.8962230445806829	0	0.9766023783674793	0.31184884778491134	3.3070272799980187	3.097493204589036	2.034278420528559	2.340881439800387	1.5563060747320059	1.2677150093089862	2.7045290186587883	2.8506056473896146
MAG_1208_24;terpene	0.6003820905159207	1.2913308585742913	1.8826078613785147	2.2833384828585164	1.750971408672245	3.098999765699858	0.8968042084494885	0	1.116698733407379	1.251533998221006	2.6116005597799985	2.471137542558373	2.584734195457213	3.6700521832374013	1.4548140497345763	0.16286812578235496
MAG_59_50;terpene	0	2.3471282131127507	2.537761323750725	1.9691839239299458	0	0	0.7264679866817126	0.9437736784895951	2.339167020145523	2.6330360186959783	3.363573277138765	3.5101286533021168	1.829152701917983	1.6471949197742164	2.3181823730924465	1.7497643504541749
MAG_1208_9;phosphonate	1.9874035115924493	2.761962736927451	2.6784809795530276	1.5312189294007084	2.4783814726127322	3.3841628364011456	1.5254205713131683	0	2.683700789800103	2.1672064076030684	3.4091175842620554	3.220975948709592	3.466432288276103	4.2785815552823445	1.2452158412179313	0.47799020008396453
MAG_741_1;betalactone	3.265118234530544	3.611469733385757	4.21227686068506	4.167611178107278	2.9796558985161967	2.494718665006227	3.032911631528856	2.57250496675442	3.1565665867171764	3.443828912306495	2.7510181087777195	2.875539443205774	3.1670832912932196	3.0693876418510775	2.1271801382564535	1.9036563638390027
MAG_59_18;RiPP-like	1.0333203002015812	2.9105657118696033	3.0379189887493427	1.4953098697599014	0.8251234410774473	1.2573566718653821	3.254077499454784	2.086043151972614	4.157456746517981	4.621907916970768	4.083536472930848	4.520290391865723	3.647941727577184	3.1500784519064204	4.32158216055881	3.8126029833538193
MAG_1583_1;betalactone	4.8326699442610686	5.1038891962441015	2.7905754893466	2.6354912458856794	3.664439527105451	2.0444271478295533	3.5362783927714156	3.2057209262550073	2.033082737230188	1.8336646926621045	2.9908671043630704	2.5987510117833192	0.9752506918482431	1.4628282550047818	4.096638414824249	4.127070858061566
MAG_16_7;betalactone	0	1.8162702019977424	2.392740948614692	2.2552897981420195	1.8732769743174382	1.6991726326738168	0.6795310348799981	1.0598697251802154	5.160720424753123	5.151552973260228	4.620490851255709	4.6541253733660914	4.723177171581715	4.976953564118743	4.524037503431488	4.063912455646673
MAG_975_193;NRPS	0	0	0	0	0	0	0	0	0	0	0	0	0	0.050026748441851704	0	0
MAG_599_43;betalactone	0	0	0	0	0	0	0	0	0	0	0	0	0.05807447336163367	0	0	0
MAG_599_25;NRPS-like	0	0	0	0	0	0	0	0	0	0	0	0.07491958290303427	0	0	0	0
MAG_1322_103;terpene	0	0	0	0	0	0	0	0	0	0	0	0.07914831438164868	0	0	0	0
MAG_112_14;ranthipeptide	0	0	0	0	0	0	0	0	0	0	0	0.08421916787343822	0	0	0	0
MAG_1194_42;RiPP-like	0	0	0	0	0	0	0	0	0	0	0	0.02823883373742475	0	0.06583987466846634	0	0
