mag_and_cluster	MFL103_1	MFL103_2	NFL148_1	NFL148_2	MFL198_1	MFL198_2	NFL200_1	NFL200_2	MFL234_1	MFL234_2	NFL237_1	NFL237_2	MFL295_1	MFL295_2	NFL247_1	NFL247_2	MFL314_1	MFL314_2	NFL267_1	NFL267_2	MFL900_1	MFL900_2	NFL900_1	NFL900_2	MPA103_1	MPA103_2	NPA148_1	NPA148_2	MPA198_1	MPA198_2	NPA200_1	NPA200_2	MPA234_1	MPA234_2	NPA237_1	NPA237_2	MPA295_1	MPA295_2	NPA247_1	NPA247_2	MPA314_1	MPA314_2	NPA267_1	NPA267_2	MPA900_1	MPA900_2	NPA900_1	NPA900_2
MAG_1208_62;ladderane	0	0	0.1306153447533656	0	0	0	0.5959514862509725	1.2410664300000904	0.12564768820937994	0	4.460288677007518	3.022356249679758	0.38718189280042326	0.566302256150196	2.317822831293629	1.627054638401721	1.6399351065183432	3.6765247821156786	0.6055536152938299	0	0	0	0.1387927273358043	0	0	0	0	0	0	0	0.43625329979280963	0	0	0	2.993118301298696	0.6768908619802935	0	0.7203309765129275	0.8516357978749776	0	0	2.8830683233347143	0	0	0	0	0	0
MAG_1208_67;ladderane	0	0	0	0	0.1106455828803902	0	1.0479174984799344	1.45546648745955	0.4191276425238651	0	3.5410198083246023	2.6187285630583204	1.7364389028632785	1.2804187561544402	1.8007988366059828	1.1380030645748276	1.629113483675005	2.8450380972489957	0.2312049826512585	0.20747113566779174	0	0	0	0	0	0	0	0	0	0	0.7883600925725827	0.889835621667458	0	0.43162533787890767	2.536055545748869	1.6849880397874277	0	0.5623256987288506	0.946725201940676	0.5956475697234643	0	1.5246610239960652	0.9959273577956305	0	0	0	0	0
MAG_864_15;ladderane	0	0	0	0	0	0	0	0.15470357569811158	0	0	1.763979136672964	0.9549899546581065	0	0.9369029138571171	0.5817934844032671	0.24479232708675028	0.865854226431315	1.7711762661015156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6440456330589599	0	0	0	0.24842332058494804	0	0	1.7188754599249836	0	0	0	0	0	0
MAG_864_30;ladderane	0	0	0	0	0	0	0.993534914619264	0.14418338159917682	0	0	1.8569180019889522	1.0010227740388256	0.7743633332276006	1.0319633374864696	0.8968888359564764	0.24512063524014724	1.2799236590513163	1.9558997498704918	0	0.12040277444093857	0	0	0	0	0	0	0	0	0	0	0.1775490363501363	0.7965047997324468	0	0	1.1337854337198532	0.9850955587671169	0	0.46856923378149334	0.8062889228829888	2.0838931747931193	1.236689346744176	1.723325325463129	0	0	0	0	0	0
MAG_971_7;ladderane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11070899774315347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1305_1;ladderane	0	0	0	0	0	0	0	0	0	0.13848998088528544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.310308557864574	1.4462433696818757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7340967024239977	0	0	0
MAG_954_210;ladderane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4527892808570424	0	0	0	0.5395845955396272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_982_30;ladderane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46581810214989444	0	0	0
MAG_244_38;ladderane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26013387031315255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.694518905379726	0.7934012293707332	0	0
MAG_114_1;ladderane	0	0	0.30244383243830114	0	0	0	0	0	0	0	0	0	0	0.168080301916789	0	0	0	0	0	0	0	0	0.263949581432198	0	0	0	0	0	0	0	0.031145068894123457	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29043910283010904	0.1587848836971156	0	0
MAG_1322_174;ladderane	0	0	0	0	0	0	0	0.06963755077624767	0	0	0	0.07355713349515626	0	0	0	0.1358995706121331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1526_8;ladderane	0	0	0	0	0	0	0	0.10437322240662669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31484648137738247	0.060423335893105605	0	0	0.12738710184191784	0	0	0	0	0	0	0	0	0	0	0	0	0
