mag_and_cluster	MPA103_1	MPA103_2	NPA148_1	NPA148_2	MPA198_1	MPA198_2	NPA200_1	NPA200_2	MPA234_1	MPA234_2	NPA237_1	NPA237_2	MFL103_1	MFL103_2	NFL148_1	NFL148_2	MFL198_1	MFL198_2	NFL200_1	NFL200_2	MFL234_1	MFL234_2	NFL237_1	NFL237_2
MAG_1535_171;hglE-KS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0296068323055327	0.27623483509192276	0	0	0.042870782702826064	0.016335984558856095	0	0	0	0
MAG_32_8;NRPS-like	0	0	0	0.20933107534722004	0	0	0	0	0	0	0.4214297144612894	0	0	0	0.7338915442277691	0.7547400483473776	0	0	0	0	0	0	0	0
MAG_335_6;terpene	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14998172155905495	0	0.7681367100089909	0	1.002713911658618	0.03373203130737287
MAG_1194_33;ranthipeptide	0	0	0	0	0	0	0	0	0	0	0.48422292742038614	0	0	0	0	0	0	0	0	0	0	0	0.7240028025670222	0.9123931418597128
MAG_773_22;phosphonate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4019227454809224	0.5077164662578985	0.5479172426930337	0	0.4200115679278908	0.7555554756956282
MAG_591_11;RRE-containing	0	0	0.36686353355422735	0	0	0	0	0	0	0	0	0	0	0	1.2920576655193348	0.4053752281902116	0	0	0	0	0	0	0	0
MAG_755_3;NRPS-like	0	0	0.14683048236901633	0.707767679645247	0	0	0.38100019527091744	0	0	0	0.12483701222140767	0	0	0	0.9576049907226569	0.17863993832590788	0	0	0	0	0	0	0	0
MAG_975_12;RRE-containing	0	0	0.5682134287969584	0	0	0	0.18998261644755862	0.32412313151659694	0	0	0	0	0	0	0.814732025264405	0	0	0	0.38381566584795046	0.32875931715349194	0	0	0.041206774776944295	0.20002944401369924
MAG_63_19;betalactone	0	0	0	0.5683285897980095	0	0	0	0	0	0	0	0	0	0	0	1.4183085168339544	0	0	0	0	0	0	0	0
MAG_522_13;ladderane	0	0	0.12395875455529906	0.8585259939171886	0	0	0.05965294653815138	0	0	0	0	0	0	0	1.1665128329623475	0.23721233369312078	0	0	0.10036436226666842	0	0	0	0	0
MAG_358_17;ladderane	0	0	0.1719642301453256	0	0	0	0.2073614458433759	0	0	0	0	0.16606549651319197	0	0	1.5567551087608618	0	0	0	0	0	0	0	0	0
MAG_501_63;terpene	0.9821204992753199	0	0	0	0	0	0	0	1.333677649280004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_957_7;terpene	0	0	0	0	0	0	0.05142602082476243	0	1.4882027659926564	0	0	0	0	0	0	0	0	0.22846529145462732	0	0.062207580227812545	0	0.16752641888085945	0.21563324676839038	0.21461088942973616
MAG_1535_2;NRPS-like	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2388498404820356	1.0549245383951098	0	0	0.10601437826595353	0.039142258174688485	0	0	0	0
MAG_522_3;ranthipeptide	0	0	0.6899910981502294	0.9095564659306	0	0	0.667171995804034	0	0	0	0	0	0	0	0.678703118760558	0.08377722124062757	0	0	0	0	0	0	0	0
MAG_773_37;RiPP-like	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.569202732855371	0	0	0	1.1155978026511297	1.0429777919321657
MAG_1131_1;NRPS-like	0	0	0	0	0	0	0	0	0	0	0	0.3652954742723063	0	0	1.3001575383409836	1.0434904652371588	0	0	0	0	0	0	0	0
MAG_773_15;terpene	0	0	0	0	0	0	0.09750059695593526	0	0	0	0	0.9821626551166143	0	0	0	0	0	0	0	0	0.6713497144480148	1.032252480564308	0	0.4496997625982447
MAG_815_2;NRPS-like	0	0	0.4092746310161638	0.24565247439850885	0	0	0.2560254789357444	0	0	0	0	0	0	0	1.5709969181751862	0.0879551036072424	0	0	0	0	0	0	0.2007810313654237	0
MAG_1606_14;T1PKS	0	0	0	0	0	0	1.009746603633503	0.9507414218565373	0	0	0.686623179641993	0.23933458546675426	0	0	0	0	0	0	0.28126620182612666	0.18608956032524576	0	0	0.11501560717330114	0.05330222096084444
MAG_109_35;NRPS-like	0	0	0	0	0	0	0	0.08816015440770024	0	0	0	0	0	0	0	0	1.1960186676780276	0.6835440971928191	0	0	0.6425246529258108	0.42024574108443224	0.06276329214454267	0.4174956346409644
MAG_1535_79;betalactone	0	0	0	0	0	0	0	0.15096874084013862	0	0	0	0	0	0	1.7297778853387242	0.5507818783589559	0	0	0	0.057666563227764825	0	0	0	0.057592082319011084
MAG_957_4;betalactone	0	0	0	0	0	0	0	0	0.8922674944561504	0	0.22052322933860113	0.26653356546669277	0	0	0	0	0.33413836028438826	0.22038909846016908	0.34207583378667866	0.09115728611915276	0.22709987806863854	0.3734961054314751	0.7686269343027317	0.6226601668233728
MAG_479_9;NRPS-like	0	0	0	0	0	0	0.09130784684667455	0	0	0	0	0	0	0	1.7909256270646676	0.5841140704245843	0	0	0	0	0	0	0	0
MAG_1566_6;ranthipeptide	0	0	0.35815787589007075	0	0	0	0.12633549677802375	0	0	0	0	0	0	0	1.8577451871661967	0	0	0	0	0	0	0	0	0
MAG_975_89;ranthipeptide	0	0	0	0	0	0	0.42729313143339603	0.08450216455522669	0	0	0.3149239921473496	0	0	0	0.9702655477251225	0	0	0	0.6621317189148567	0.3091776670868856	0	0	0.9503940672851774	0.4938003450149338
MAG_341_1;NRPS-like	0	0	1.0125440603176912	0.29558957344226894	0	0	0	0.38644121714864277	0	0	0	0	0	0	1.5294419226003997	0	0	0	0	0	0	0	0	0
MAG_20_13;NRPS-like	0	0	0	0.23761685717406822	0	0	1.0450382259165778	1.2779020782203336	0	0	0.6339725774840685	0.4684126591289201	0	0	0	0	0	0	0	0.13607588834492265	0	0	0	0
MAG_1396_80;betalactone	0	0	0	0.1310116423350952	0	0	0.2227244339218865	0	0	0	0	0.20955480587363498	0	0	1.783347666557688	0.6887498662509959	0	0	0.12687140380774617	0	0	0	0	0.059325289253530845
MAG_45_7;ladderane	0	0	0.3507102727881251	0.45731432389132093	0	0	0	0	0	0	0	0	0	0	1.8041283028539161	0.6002237595285568	0	0	0	0	0	0	0	0
MAG_1684_31;hglE-KS	0	0	0.1667489511641819	0.39384750022514625	0	0	0.018497152347395653	0	0	0	0	0	0	0	1.2712737003623176	1.4431966628653803	0	0	0.17798261339464042	0.20252487843929812	0	0	0.01621905823312535	0.012713232597609045
MAG_49_2;hserlactone	0	0	1.1883126731026967	0.7034020344035076	0	0	0.5840139398616834	0.21342178429598713	0	0	0	0.314214217758261	0	0	1.223460373684182	0	0	0	0	0	0	0	0	0
MAG_1220_19;terpene	0	0.9913715972363435	0	0	0	0	0	0	0	0	0	0	0.4769249210261811	0.15976280753296707	0	0	0.30893634769413725	0.7390454603135941	0	0	0.9207637818198751	0.8604360863540835	0.501247776825051	0.4395029852641784
MAG_1396_32;terpene	0	0	0.4483906808988329	0.2986873767577418	0	0	0.22496996327029675	0	0	0	0	0	0	0	1.565071269429288	1.3879558598341353	0	0	0.1650200541786828	0.0844877740528234	0	0	0	0
MAG_335_22;RRE-containing	0	0	0	0	0	0	0.3114932232846116	0	0	0	0	0.35646566597500007	1.3513656176348623	0	0	0	0.3018747136584994	0	0.759523861602166	0.5622018185302212	0.5730136326797484	0	0.8142068750517538	0.28813987665074814
MAG_1421_1;NRPS-like	0	0	0.1829350941860041	0.09853541436624919	0	0	0	0	0	0	0	0	0	0	2.2247354126115635	0.15660254561118653	0	0	0	0	0	0	0	0
MAG_864_15;RRE-containing	0	0	0	0	0	0	0.19178334929328117	0.3869415280918048	0	0	0.6270260045283391	0.22223196975900172	0	0	0	0	0.13271955282365622	0	0.866688359188834	0.5271575642303999	0	0	1.8640539216807364	0.6862015602762942
MAG_895_5;phosphonate	0	0	0.12806503188131588	0.8964312429816703	0	0	0.07874618729902962	0	0	0	0	0	0	0	2.289087288599854	0	0	0	0.1466992509413665	0	0	0	0	0
MAG_112_1;ranthipeptide	0	0	0.5971910710528461	0.3322351352747209	0	0	0	0	0	0	0	0	0	0	2.377777161825745	0.06851657896174339	0	0	0	0	0	0	0	0
MAG_541_13;terpene	0	0.3083963140933508	0	0	0.6226492360422143	0.9034657263659356	0.2063349756407647	0	1.8638885467980841	0.3698124621604758	0.4420426456519035	0.3577934501002774	0	0	0	0	0.6831223695788681	0.15571629772904122	0	0	0	0.2579300021535016	0.08319684966894683	0.12717628328358435
MAG_1535_25;phosphonate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9997003667944349	1.8324565447040164	0	0	0.1265294427313067	0.32946444171228545	0	0	0	0.3337963490023259
MAG_791_13;NRPS-like	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.574012882415954	0.3452510106267124	0	0	0.09741876840328563	0	0	0	0	0
MAG_112_14;ranthipeptide	0	0	0.8495095654385338	0.8379756373682511	0	0.2490578342874775	0	0	0	0	0	0	0	0	2.383018294620267	0	0	0	0	0	0	0	0	0
MAG_815_2;T2PKS	0	0	0.7038228947423126	0.7188792795831438	0	0	0.4873530790685439	0	0	0	0	0	0	0	2.401346776968202	0.46772800336742243	0	0	0.062404411246569605	0	0	0	0	0
MAG_22_6;betalactone	0	0	0	0	0	0	0	0	0	0	0	0	0.9251300466216643	0	0	0	1.4081186285673561	1.7829230256254982	0	0	0.5748356979597018	1.445381264089232	0.1782302067588995	0
MAG_864_30;ladderane	0	0	0	0	0	0	0.1775490363501363	0.7965047997324468	0	0	1.1337854337198532	0.9850955587671169	0	0	0	0	0	0	0.993534914619264	0.14418338159917682	0	0	1.8569180019889524	1.0010227740388256
MAG_334_20;ladderane	0	0	1.0526031216251874	1.090572884978445	0	0	0.5264529393755732	0	0	0	0	0	0	0	2.383005185192011	0.24210734816227364	0	0	0	0	0	0	0	0
MAG_522_1;ladderane	0	0	1.2464018839993127	1.419862839905618	0	0	0.39821615505176744	0	0	0	0.30823714281296466	0	0	0	1.9710106253338564	1.1307874551909063	0	0	0	0	0	0	0	0
MAG_654_8;RRE-containing	0	0	0.13867621181992906	0.37245072413914215	0	0	2.2712134834087196	1.0281418731248015	0	0	0.5209308972980701	0.5716592425966476	0	0	0	0.9192143770391041	0	0	0.689742179277552	0.20624045392996118	0	0	0	0
MAG_49_7;betalactone	0	0	1.6774073172801849	2.225074123683475	0	0	0.8960289315094704	0	0	0	0	0	0	0	0.7733961371855179	0	0	0	0.049090006680140776	0	0	0	0	0
MAG_428_1;NRPS-like	0	0	0.4209166371975548	1.1634165395668594	0	0	0.3041364560683853	0	0	0	0	0	0	0	2.3562793357978733	1.339099313861769	0	0	0.0715231583606713	0.15445542465818582	0	0	0	0
MAG_1225_7;terpene	0	0	0	0	0	0	0	0	1.3022343813755992	0.5411508932124824	0.1347268390792743	0.38150800235881793	0	0.2020258525560988	0	0	1.603455561135287	1.551692157851475	0	0	0.4882235632685956	1.3441187312185907	0.1065762014454541	0.17889078160601837
MAG_791_3;NRPS-like	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.625595435911959	1.413137033291256	0	0	0	0	0	0	0	0
MAG_334_9;ladderane	0	0	1.1345382855543236	1.0655153150369312	0	0	0.7848938022820832	0	0	0	0	0	0	0	2.338361217657085	0.9202344192887073	0	0	0	0	0	0	0	0
MAG_109_5;NRPS	0	0	0	0	0	0	0.2047234747304242	0.0315900522617648	0.9604645785231862	0	0	0	0	0.17726307110629524	0	0	1.6735872692911546	1.1718856440716432	0.1704152468818913	0.45802402133866105	1.1862946286991116	1.0508283083874193	0.9761803891581337	1.1551600471737178
MAG_22_1;ranthipeptide	0.3019192304270302	0	0	0	0	0	0	0	0	0.6184049466450636	0	0	0.36813014376127834	0.10746537254241827	0	0	2.1188244017214704	1.8846782381082519	0	0	0.8527162387863799	1.6599053781367168	0	0.4015425695119537
MAG_791_5;NRPS-like	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1160250275880808	0.9258597750721351	0	0	0	0	0	0	0	0
