mag_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	preference	layer	phylum
MAG_481	2267.052747484954	5.654649629050998	0.5115389882792092	11.054190899647645	2.092147000936942e-28	1.3305114635172013e-27	particle enriched	Shallow anoxic	Planctomycetota
MAG_151	11694.812084458403	6.5185932510940265	0.5575116655815419	11.692299289010329	1.3955647422671527e-31	9.873620551540105e-31	particle enriched	Shallow anoxic	Planctomycetota
MAG_334	38307.74768994996	-1.586976050324759	0.44356545957650095	-3.577771929852117	3.4653561967415826e-4	4.978151287704913e-4	free-living enriched	Shallow anoxic	Omnitrophota
MAG_1465	1703.4509912321487	-1.124329418973927	0.9729122588879904	-1.155632903895159	0.24783134328206716	0.27027464411878616	no significant difference	Shallow anoxic	Patescibacteria
MAG_937	2710.512672564165	0.2760698168853493	0.5525323861199863	0.4996445888429765	0.617325355574222	0.6329821580706696	no significant difference	Shallow anoxic	Chloroflexota
MAG_76	1614.502494229155	2.99844970254926	0.4837917712590832	6.197810464501496	5.725402672479938e-10	1.301436912700259e-9	particle enriched	Shallow anoxic	Desulfobacterota
MAG_524	2692.6239851103655	4.4743935933613255	0.42822355440391335	10.448733021212893	1.4849568079144476e-25	8.081591858457475e-25	particle enriched	Shallow anoxic	Dependentiae
MAG_1334	3076.703228274593	0.07711753722275114	0.4945847323747918	0.1559238127963727	0.8760930749779932	0.8839013911542677	no significant difference	Shallow anoxic	Nanoarchaeota
MAG_1183	10152.83539780392	8.764162121151918	0.4657396906282398	18.817726505829626	5.405472701840158e-79	1.6102618680218576e-77	particle enriched	Shallow anoxic	Myxococcota
MAG_459	2701.6134262523665	-4.0118263375883085	0.3981242267605529	-10.076820419173268	6.995321402530525e-24	3.5038512511790065e-23	free-living enriched	Shallow anoxic	Nanoarchaeota
MAG_743	109667.52300670327	4.688798732399869	0.5313762451485953	8.82387719663434	1.1056346792968371e-18	4.1170343979079596e-18	particle enriched	Shallow anoxic	Actinobacteriota
MAG_1429	33576.48841283027	4.759754199147854	0.6624203769499284	7.185398222596704	6.701157873481043e-13	1.8411919205778012e-12	particle enriched	Shallow anoxic	Thermoplasmatota
MAG_14	6471.899655586492	1.6030880373387137	0.5632339018400503	2.8462207834108075	0.004424150896453268	0.005823417226494302	particle enriched	Shallow anoxic	Bacteroidota
MAG_1320	13457.30325223521	-1.7377339039765989	0.4252594960007164	-4.0862906538686	4.383246199567655e-5	6.741623230856773e-5	free-living enriched	Shallow anoxic	Thermoplasmatota
MAG_336	58896.27388797368	-4.620042644101976	0.49970706096133116	-9.24550202515447	2.3413897286058066e-20	9.465904188506332e-20	free-living enriched	Shallow anoxic	Desulfobacterota
MAG_1562	7794.410930254026	-1.4257673117944285	0.4820839087224117	-2.9575086120856158	0.0031013608543683188	0.00414981145052593	free-living enriched	Shallow anoxic	Latescibacterota
MAG_213	125772.63640670768	-1.5854082926990847	0.7619009942219064	-2.0808586741879598	0.0374468437266851	0.044999816452874236	free-living enriched	Shallow anoxic	Proteobacteria
MAG_83	1927.8650350753096	5.160230583711842	0.3347231669879656	15.41641300226276	1.2696315050987223e-53	1.9421930591510183e-52	particle enriched	Shallow anoxic	Planctomycetota
MAG_164	1385.982368261865	0.9356569611877525	0.925789601384549	1.010658317816971	0.31217999338601454	0.33720205392458824	no significant difference	Shallow anoxic	Proteobacteria
MAG_313	8110.378343694763	0.9805801667010761	0.36580515617008874	2.680607832233876	0.007348858316795885	0.009431868043778846	particle enriched	Shallow anoxic	Chloroflexota
MAG_400	2489.2535325025983	5.6078748294711955	0.4600786398028865	12.18894846297103	3.559850934602028e-34	2.6865008386463306e-33	particle enriched	Shallow anoxic	Planctomycetota
MAG_421	10026.081502069525	-3.0983720599596785	0.4341275012210357	-7.137009406787488	9.538332020424859e-13	2.570807582647843e-12	free-living enriched	Shallow anoxic	Omnitrophota
MAG_1600	6554.926135481344	-2.3132371634656748	0.8618167167440456	-2.6841405121556634	0.0072716537727898255	0.009353990989543275	free-living enriched	Shallow anoxic	Patescibacteria
MAG_888	9194.541691515533	4.742343547088009	0.4187988083929752	11.323679657268947	1.0017690975564684e-29	6.670603637846602e-29	particle enriched	Shallow anoxic	Bacteroidota
MAG_1536	8280.357318685747	0.6777623671209687	0.46953550734268057	1.4434741494988113	0.14888694943829223	0.16588321089621727	no significant difference	Shallow anoxic	Thermoplasmatota
MAG_1101	5152.728899254219	-2.3688300801203774	0.543940832089619	-4.354940722174158	1.3310293187206497e-5	2.146332177766062e-5	free-living enriched	Shallow anoxic	Chloroflexota
MAG_707	30491.001802566312	-4.572233220672606	0.6372663256719323	-7.174760436073023	7.243391009804143e-13	1.9710381305524735e-12	free-living enriched	Shallow anoxic	UAP2
