mag_and_cluster	MPA103_1	MPA103_2	NPA148_1	NPA148_2	MPA198_1	MPA198_2	NPA200_1	NPA200_2	MPA234_1	MPA234_2	NPA237_1	NPA237_2	MFL103_1	MFL103_2	NFL148_1	NFL148_2	MFL198_1	MFL198_2	NFL200_1	NFL200_2	MFL234_1	MFL234_2	NFL237_1	NFL237_2
MAG_933_34;ladderane	0	0	0.3126268663624491	0.15842548170660875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_435_18;other	0	0	0	0.11689964502411387	0	0	0.3486740019912785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_658_175;acyl_amino_acids	0	0	0.07037321708274011	0.26548743405807085	0	0	0.19170445317944904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_772_16;terpene	0	0	0	0	0	0	0.20240274641895087	0.10334573565567137	0	0	0.16718515550797045	0	0	0	0	0	0	0	0	0.07084643728259073	0	0	0	0
MAG_186_16;terpene	0	0	0	0.3642294153046566	0	0	0	0.16924500478596236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_128_86;T1PKS	0	0	0	0	0	0	0.4698656673531936	0	0	0	0.03089462061909881	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1215_62;T3PKS	0	0	0	0	0	0	0.4968638844095713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_621_29;terpene	0	0	0	0	0	0	0.12716496479175066	0	0	0	0.3674645943178255	0	0	0	0	0	0	0	0.07891074582530493	0	0	0	0	0
MAG_1268_27;LAP	0	0	0	0.45588625111029923	0	0	0.09474653234288927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_589_1;betalactone	0	0	0	0.38945191472787943	0	0	0	0	0	0.19079226743552083	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_24_112;T1PKS	0	0	0	0	0	0	0.4895235381073363	0.05477803725546447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1016_46;terpene	0	0	0.4867022591077649	0	0	0	0.07529371080352083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1116_10;arylpolyene	0	0	0	0	0	0	0	0	0	0	0	0.5705313432754615	0	0	0	0	0	0	0	0	0	0	0	0
MAG_24_5;RiPP-like	0	0	0	0	0	0	0.13148335833719113	0.3714551825782173	0	0	0.1790196691913235	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1254_10;terpene	0	0	0	0	0	0	0.6028464379676378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_42_83;hglE-KS	0	0	0	0.09150886121913551	0	0	0	0	0	0	0	0	0	0	0.5671026070328439	0	0	0	0	0	0	0	0	0
MAG_1301_166;RiPP-like	0	0	0	0	0	0	0.13852769304021195	0.4028576517348425	0	0	0.2037591024215063	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_28_26;terpene	0	0	0	0.08339992127832178	0	0	0.1553495355347188	0.38078786162507217	0	0	0.17565365764667196	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_954_1;NRPS	0	0	0	0.11837066003415142	0	0	0.30035711400040616	0.3969783875147305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_650_46;T1PKS	0	0	0	0	0	0	0.5339054694653282	0.23002148553040097	0	0	0.021543336307906127	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_206_59;terpene	0	0	0	0	0	0	0.11365436291036875	0.3149377749465655	0	0	0	0.41874005023752625	0	0	0	0	0	0	0	0	0	0	0	0
MAG_933_114;ranthipeptide	0	0	0	0.7098275772056094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_18_14;RRE-containing	0	0	0.5041567382690737	0.1776442125748381	0	0	0.2114202522743898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_629_175;ranthipeptide	0	0	0.7377291789452218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_954_68;terpene	0	0	0.12776271333557673	0.6666279242470609	0	0	0.033035344221073126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1508_1;CDPS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.732971353448341	0.1002670108374418	0	0	0	0	0	0	0
MAG_604_11;RiPP-like	0	0	0	0	0	0	0.18613121994084766	0.3067319264119737	0	0	0.19799683383081942	0.34116177193208597	0	0	0	0	0	0	0	0	0	0	0	0
MAG_349_23;ranthipeptide	0	0	0	0	0	0	0.6057305583273761	0.14591288849193948	0	0	0.19080384216431445	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1226_16;terpene	0	0	0	0	0	0	0	0.6888254641960547	0	0	0	0.21038771088157335	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1149_129;ranthipeptide	0	0	0	0.2346429272383752	0	0	0.6947222297326334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_954_210;ladderane	0	0	0	0.4527892808570424	0	0	0	0.5395845955396272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1113_19;terpene	0	0	0.7117249002202534	0.2745728330873832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_613_61;PKS-like	0	0	0	0.1586468352948846	0	0	0	0	0	0	0	0.7825237051134163	0	0	0	0	0	0	0	0	0	0	0	0
MAG_547_61;terpene	0	0	0.2633635098523953	0.3722410452481853	0	0	0.060549887663868394	0	0	0	0.1624230679534366	0	0	0	0	0.31829978775043827	0	0	0	0	0	0	0	0
MAG_954_3;RRE-containing	0	0	0.2020784537447166	0.7491700712452241	0	0	0.14663714309502754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_245_38;NRPS-like	0	0	0.7495587045308562	0.33054873643994265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_379_4;RRE-containing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6085478993393106	0.5506284066121402	0	0	0	0	0	0	0	0
MAG_688_63;arylpolyene	0	0	0	0	0	0	0.6239947548971156	0.12540358353586156	0	0	0.5241758555068119	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_621_15;terpene	0	0	0	0	0	0	0.0474289094928962	0	0.7076272757651699	0	0	0.5140216522094879	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1556_97;terpene	0	0	0.7681734201260316	0.273246101993665	0	0	0	0.10612069895854112	0	0	0.19015628343692687	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_688_1;hserlactone	0	0	0	0	0	0	0.761247180065627	0.2811379980436692	0	0	0.30903266518142575	0	0	0	0	0	0	0	0.04073920580002823	0	0	0	0	0
MAG_206_27;terpene	0	0	0	0	0	0	0.24591885090312454	0.895950725982608	0	0	0	0.20828050005127038	0	0	0	0	0	0	0	0	0	0	0	0
MAG_921_92;ranthipeptide	0	0	0	0	0	0	0.14885965756279093	1.031631660711244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1518_8;NRPS	0	0	0.5392658694451505	0.49333733765730314	0	0	0.49803135261152126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1242_3;terpene	0	0	0	0	0	0	0.5747304479186904	0.43193688771331457	0	0	0.43200026613892933	0.13611714415620985	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1239_11;T1PKS	0	0	0	0	0	0	0	0	0	1.039587726875514	0.1643269981467816	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_723_48;RRE-containing	0	0	0	0	0	0	0.3698644836632314	0.9310379621726306	0	0	0.06920174613485551	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_403_54;terpene	0	0	0.3808117998627914	0.8186279307955611	0	0	0.29601303225756076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_24_25;RRE-containing	0	0	0.21509475236729386	0	0	0	0.5835777163755671	0.18310549311686863	0	0	0.6521692067303579	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1149_11;ladderane	0	0	0	0	0	0	0.34927508116882966	1.0262250557248145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1113_42;ranthipeptide	0	0	0.5089938202551234	0.9175668784571631	0	0	0	0	0	0	0	0	0	0	0.05470375709086272	0	0	0	0	0	0	0	0	0
MAG_1002_27;T1PKS	0	0	0	0	1.0417604162872764	0	0	0.1667215324631587	0	0.1262162034423449	0.08803790534456847	0.05175362812020741	0	0	0	0	0	0	0	0	0	0	0	0
MAG_650_64;RRE-containing	0	0	0	0	0	0	0.5016139829250394	0	0	0	0.9776879358947608	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1556_6;terpene	0	0	1.1503180116553897	0	0	0	0.16940669301467798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_128_124;hglE-KS	0	0	0	0	0	0	0.3604314202624992	0.7235858312961267	0	0	0	0.7163984925800326	0	0	0	0	0	0	0	0	0	0	0	0
MAG_189_99;terpene	0	0	0.16471709197574433	0	0	0	0.790294702003234	0.13822407502545137	0	0	0.527257714940955	0.32405454638244474	0	0	0	0	0	0	0	0	0	0	0	0
MAG_27_7;terpene	0	0	0	0	0	0	0	0	0	0.6323271656883118	0.5317968354469415	0.7207019642184269	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1016_53;hglE-KS	0	0	0.7647949222341752	0.5398409559848977	0	0	0.19149462264433198	0.3001739435333187	0	0	0.2424490100708112	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_547_60;terpene	0	0	0	0.5729760601505163	0	0	0.5279604261861786	0	0	0	0.24923301854816787	0.69455171346041	0	0	0	0	0	0	0.056041469840899576	0	0	0	0	0
MAG_1365_24;phosphonate	0	0	0.6668764680514914	0.8155196044663164	0	0	0	0	0	0	0	0	0	0	0.4881387681068159	0	0	0	0	0	0	0	0	0
MAG_1019_3;terpene	0	0	0.6570344122423385	0.5699644434535693	0	0	0.11673173422754038	0.42815471549419065	0	0	0	0	0	0	0.10091679066465566	0.3357234965007576	0	0	0	0	0	0	0	0
MAG_1002_27;NRPS-like	0	0	0	0	0	0	0	0	1.16774717338839	0	0.5408448060140371	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1454_13;T1PKS	0	0	0	0	0.27480196036029714	0.3012336292883354	0	0	0.4890125490876038	0.8865839344327103	0.20998791788147173	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1549_4;terpene	0	0	0.35639588205605643	0.19484544358911607	0	0	0.4026091032032764	0.6420165918137309	0	0	0.6928692004207018	0	0	0	0	0	0	0	0.16919280782169807	0	0	0	0	0
MAG_743_19;thiopeptide	0	0	0	0	0	0	0	0	0	1.2668159661787675	0	0.6527344024902522	0	0	0	0	0	0	0	0	0	0	0	0
MAG_244_30;NRPS-like	0	0.14094723680233284	0.19380802658473767	0.3763241290478441	0	0	0.1725385601771686	0.29261284914237745	0	0	0	0.42362793492585094	0	0	0.9946038913965076	0	0	0	0	0	0	0	0	0
MAG_1428_64;T1PKS	0	0	0	0	0	0	1.012761591952079	0.8368151873938411	0	0	0.7789185588233638	0.035237004098526134	0	0	0	0	0	0	0	0	0	0	0	0
MAG_732_1;hglE-KS	0	0.11112903253968555	0.36175493670320485	0.06200548480053903	0	1.1597059702202115	0.1449788414607969	0	0.2621474289775009	0.7026804345753922	0.17037454562100998	0	0	0	0	0.04763978080992688	0	0	0	0	0	0	0	0.015092670032949321
MAG_1536_36;hglE-KS	0	0	0.3233507509743495	0.017467860261649093	0	0	0	0	0	0	0	0	0	0	1.7168550518354047	0	0	0	0	0	0	0	0	0
MAG_1630_13;terpene	0	0	1.216908193201023	1.042993676236775	0	0	0.6131046166539947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_110_1;acyl_amino_acids	0	0	1.2637308958673301	0.9491742950021155	0	0	0.4235310619771735	0.30463537061353857	0	0	0.1582967639434582	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_218_127;T1PKS	0	0	0	0	0	0.8478303961781801	0	0	1.4451984750438014	0.55808219054531	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1454_6;terpene	0	0.5326416844883154	0	0	0	0.6698820501902557	0.12608023181972705	0	1.2348986936792885	0.7950601946549682	0.306179805694965	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_651_55;terpene	0	0	0	0	0	0	1.3203536401853462	1.1523316998289388	0	0	0.5407755483126543	0.3040629404403387	0	0	0	0	0	0	0	0	0	0	0	0
MAG_292_65;terpene	0	0	0.32343062507623294	0.42187676728209933	0	0	0.5836180171543441	0	0	0	0	0	0	0	1.6739488331403118	0	0	0	0	0	0	0	0	0
MAG_1454_16;terpene	0	0	0	0	0	0.6830382833917412	0	0	1.2718182965846923	1.1391835803645545	0.4507389829822781	1.0702982240937313	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1454_13;NRPS	0	0	0	0	0.574064168819036	0	0.045637439779453254	0.05738058804799543	1.5051501786707464	1.5358797181826103	0.12238714135385892	0.13828501808407145	0	0	0	0	0	0	0	0	0	0	0	0
MAG_403_12;ranthipeptide	0	0	1.3442304185312914	1.242339694847073	0	0	1.4781366029340723	0.07094499776880489	0	0	0.16917496583730415	0.18865826987397671	0	0	0	0	0	0	0	0	0	0	0	0
MAG_938_54;RiPP-like	0	0	1.6611110102517885	1.8372645605817426	0	0	0.21569962321149866	0.24371823830491204	0	0	0.5728905155548863	0	0	0	0	0	0	0	0	0	0	0	0	0.0848699503908353
MAG_379_10;ladderane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4913059684350243	0	0	0	0	0	0	0	0	0
MAG_996_165;terpene	0	0	0.580580971105984	0.4026308071595895	0	0	1.130127296269676	1.1999217756300047	0.6670289851640491	0	0.9129138344939374	1.2994076295762862	0	0	0.4375474468940375	0	0	0	0.24254615405412452	0.025128229084185945	0	0	0	0.06827891626999187
MAG_1099_26;RiPP-like	0	0	0	0.7422992319843333	0	0	0.1666510407494586	0	0	0	0	2.5629210286101087	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1239_2;RiPP-like	0	0	0	0	1.2301133763948957	2.0031991050248146	0.2100151975695702	0	1.9896622994236288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_218_103;terpene	0	0	0	0	1.0107080676206093	0	0	0	2.5287427563464773	1.763036686147021	0	0.12441625255193522	0	0	0	0	0	0	0	0	0	0	0	0
