Genome	D2b900BN_R1_paired.fastq.gz Read Count
CarAnox_mtb2_481	348
CarAnox_mtb2_151	193
CarAnox_mtb2_334	993383
CarAnox_mtb2_1465	55
CarAnox_mtb2_937	3469
CarAnox_mtb2_76	119
CarAnox_mtb2_524	33
CarAnox_mtb2_1334	5
CarAnox_mtb2_1183	66
CarAnox_mtb2_459	76649
CarAnox_mtb2_743	793
CarAnox_mtb2_1429	110
CarAnox_mtb2_14	154846
CarAnox_mtb2_1320	1664
CarAnox_mtb2_336	981508
CarAnox_mtb2_1562	149390
CarAnox_mtb2_213	10292
CarAnox_mtb2_83	551
CarAnox_mtb2_164	16
CarAnox_mtb2_313	19966
CarAnox_mtb2_400	123
CarAnox_mtb2_421	248720
CarAnox_mtb2_1600	79
CarAnox_mtb2_888	29
CarAnox_mtb2_1536	121547
CarAnox_mtb2_1101	60342
CarAnox_mtb2_707	284
CarAnox_mtb2_153	305
CarAnox_mtb2_786	48
CarAnox_mtb2_206	255
CarAnox_mtb2_557	22313
CarAnox_mtb2_349	17153
CarAnox_mtb2_1053	83
CarAnox_mtb2_301	93813
CarAnox_mtb2_809	3408
CarAnox_mtb2_1556	5366
CarAnox_mtb2_128	40
CarAnox_mtb2_1446	51393
CarAnox_mtb2_1552	29518
CarAnox_mtb2_1559	470
CarAnox_mtb2_1679	184
CarAnox_mtb2_1425	341211
CarAnox_mtb2_516	26169
CarAnox_mtb2_941	5229
CarAnox_mtb2_828	11647
CarAnox_mtb2_739	213
CarAnox_mtb2_1274	197152
CarAnox_mtb2_30	7156
CarAnox_mtb2_750	667
CarAnox_mtb2_608	34734
CarAnox_mtb2_572	50
CarAnox_mtb2_1146	74
CarAnox_mtb2_1398	560191
CarAnox_mtb2_596	466
CarAnox_mtb2_243	45
CarAnox_mtb2_1149	361
CarAnox_mtb2_361	19452
CarAnox_mtb2_938	1332
CarAnox_mtb2_908	633
CarAnox_mtb2_121	3147
CarAnox_mtb2_713	11
CarAnox_mtb2_1080	3940
CarAnox_mtb2_781	158
CarAnox_mtb2_798	2
CarAnox_mtb2_1422	63009
CarAnox_mtb2_996	111785
CarAnox_mtb2_535	2306
CarAnox_mtb2_1253	35887
CarAnox_mtb2_715	2278
CarAnox_mtb2_621	290
CarAnox_mtb2_1042	52
CarAnox_mtb2_614	49
CarAnox_mtb2_1447	129
CarAnox_mtb2_116	24184
CarAnox_mtb2_244	3782
CarAnox_mtb2_704	317
CarAnox_mtb2_492	3127
CarAnox_mtb2_1352	8185
CarAnox_mtb2_768	11421
CarAnox_mtb2_853	806
CarAnox_mtb2_31	30308
CarAnox_mtb2_464	759
CarAnox_mtb2_942	62793
CarAnox_mtb2_1019	52555
CarAnox_mtb2_1375	1621
CarAnox_mtb2_310	668
CarAnox_mtb2_1268	4586
CarAnox_mtb2_636	56197
CarAnox_mtb2_512	3455
CarAnox_mtb2_595	58
CarAnox_mtb2_1284	249
CarAnox_mtb2_59	2893
CarAnox_mtb2_1105	23326
CarAnox_mtb2_719	17990
CarAnox_mtb2_1356	194
CarAnox_mtb2_1570	128664
CarAnox_mtb2_1503	18430
CarAnox_mtb2_1244	106
CarAnox_mtb2_1109	73921
CarAnox_mtb2_216	48
CarAnox_mtb2_660	50575
CarAnox_mtb2_820	42
CarAnox_mtb2_762	7165
CarAnox_mtb2_1264	336933
CarAnox_mtb2_997	5
CarAnox_mtb2_42	141
CarAnox_mtb2_1263	92082
CarAnox_mtb2_292	51601
CarAnox_mtb2_1649	38922
CarAnox_mtb2_1604	184941
CarAnox_mtb2_1464	42
CarAnox_mtb2_1392	92
CarAnox_mtb2_1225	9
CarAnox_mtb2_479	30868
CarAnox_mtb2_740	334
CarAnox_mtb2_1220	1589
CarAnox_mtb2_616	1092778
CarAnox_mtb2_1419	28
CarAnox_mtb2_423	29482
CarAnox_mtb2_358	62206
CarAnox_mtb2_343	1281
CarAnox_mtb2_920	80
CarAnox_mtb2_463	11572
CarAnox_mtb2_1423	45854
CarAnox_mtb2_633	5601
CarAnox_mtb2_868	7248
CarAnox_mtb2_1650	42359
CarAnox_mtb2_1415	16299
CarAnox_mtb2_877	103
CarAnox_mtb2_147	35601
CarAnox_mtb2_1518	938
CarAnox_mtb2_1270	1722
CarAnox_mtb2_1438	97
CarAnox_mtb2_959	401
CarAnox_mtb2_1246	8
CarAnox_mtb2_971	3326
CarAnox_mtb2_1057	19
CarAnox_mtb2_645	97380
CarAnox_mtb2_501	13833
CarAnox_mtb2_43	45783
CarAnox_mtb2_1579	58
CarAnox_mtb2_99	218
CarAnox_mtb2_1538	1797
CarAnox_mtb2_603	96
CarAnox_mtb2_568	351
CarAnox_mtb2_1594	8460
CarAnox_mtb2_154	293
CarAnox_mtb2_944	323
CarAnox_mtb2_785	65445
CarAnox_mtb2_741	23037
CarAnox_mtb2_954	14786
CarAnox_mtb2_1214	31360
CarAnox_mtb2_218	132
CarAnox_mtb2_428	242167
CarAnox_mtb2_382	27
CarAnox_mtb2_187	394
CarAnox_mtb2_275	12331
CarAnox_mtb2_1312	16974
CarAnox_mtb2_1002	1774
CarAnox_mtb2_281	32
CarAnox_mtb2_1394	1499
CarAnox_mtb2_1283	11910341
CarAnox_mtb2_1221	13216
CarAnox_mtb2_929	104
CarAnox_mtb2_773	750
CarAnox_mtb2_1620	7318
CarAnox_mtb2_804	1404
CarAnox_mtb2_1528	700
CarAnox_mtb2_47	378
CarAnox_mtb2_418	276
CarAnox_mtb2_1510	77639
CarAnox_mtb2_205	40
CarAnox_mtb2_919	36747
CarAnox_mtb2_406	591
CarAnox_mtb2_1509	6481
CarAnox_mtb2_824	1007
CarAnox_mtb2_106	19522
CarAnox_mtb2_1396	1572033
CarAnox_mtb2_1551	19219
CarAnox_mtb2_1199	387
CarAnox_mtb2_451	112074
CarAnox_mtb2_1564	43534
CarAnox_mtb2_200	18959
CarAnox_mtb2_110	1385
CarAnox_mtb2_1578	107
CarAnox_mtb2_769	11
CarAnox_mtb2_541	108
CarAnox_mtb2_946	49
CarAnox_mtb2_699	7
CarAnox_mtb2_499	5757
CarAnox_mtb2_1023	1290
CarAnox_mtb2_209	266
CarAnox_mtb2_654	105383
CarAnox_mtb2_1261	96
CarAnox_mtb2_728	2715
CarAnox_mtb2_1162	96
CarAnox_mtb2_1302	4952
CarAnox_mtb2_259	1153
CarAnox_mtb2_1353	137
CarAnox_mtb2_1424	1887
CarAnox_mtb2_49	148898
