Genome	D2a237B_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1263	73
CarAnox_mtb2_292	383
CarAnox_mtb2_1649	17
CarAnox_mtb2_1604	65
CarAnox_mtb2_1464	1627
CarAnox_mtb2_1392	24
CarAnox_mtb2_1225	449000
CarAnox_mtb2_479	256
CarAnox_mtb2_740	3407
CarAnox_mtb2_1220	813931
CarAnox_mtb2_616	3226
CarAnox_mtb2_1419	29984
CarAnox_mtb2_423	227
CarAnox_mtb2_358	1543
CarAnox_mtb2_343	35
CarAnox_mtb2_920	11
CarAnox_mtb2_463	552
CarAnox_mtb2_1423	914
CarAnox_mtb2_633	105
CarAnox_mtb2_868	822
CarAnox_mtb2_1650	287
CarAnox_mtb2_1415	3398
CarAnox_mtb2_877	24
CarAnox_mtb2_147	747
CarAnox_mtb2_1518	186
CarAnox_mtb2_1270	410
CarAnox_mtb2_1438	43880
CarAnox_mtb2_959	915
CarAnox_mtb2_1246	30082
CarAnox_mtb2_971	86
CarAnox_mtb2_1057	888
CarAnox_mtb2_645	6885
CarAnox_mtb2_501	1830
CarAnox_mtb2_43	525
CarAnox_mtb2_1579	10
CarAnox_mtb2_99	2285
CarAnox_mtb2_1538	2
CarAnox_mtb2_603	168292
CarAnox_mtb2_568	10
CarAnox_mtb2_1594	13
CarAnox_mtb2_154	26
CarAnox_mtb2_944	1496
CarAnox_mtb2_785	162
CarAnox_mtb2_741	3126697
CarAnox_mtb2_954	82
CarAnox_mtb2_1214	112
CarAnox_mtb2_218	306
CarAnox_mtb2_428	2129
CarAnox_mtb2_382	261433
CarAnox_mtb2_187	19141
CarAnox_mtb2_275	28
CarAnox_mtb2_1312	1697
CarAnox_mtb2_1002	2582
CarAnox_mtb2_281	69
CarAnox_mtb2_1394	15
CarAnox_mtb2_1283	159665
CarAnox_mtb2_1221	37
CarAnox_mtb2_929	121
CarAnox_mtb2_773	300447
CarAnox_mtb2_1620	17
CarAnox_mtb2_804	30
CarAnox_mtb2_1528	50
CarAnox_mtb2_47	59
CarAnox_mtb2_418	237306
CarAnox_mtb2_1510	156
CarAnox_mtb2_205	235774
CarAnox_mtb2_919	5989
CarAnox_mtb2_406	21
CarAnox_mtb2_1509	1135
CarAnox_mtb2_824	52
CarAnox_mtb2_106	194
CarAnox_mtb2_1396	772
CarAnox_mtb2_1551	3922
CarAnox_mtb2_1199	52
CarAnox_mtb2_451	37
CarAnox_mtb2_1564	148
CarAnox_mtb2_200	1520
CarAnox_mtb2_110	116
CarAnox_mtb2_1578	15
CarAnox_mtb2_769	30
CarAnox_mtb2_541	371652
CarAnox_mtb2_946	2113
CarAnox_mtb2_699	37
CarAnox_mtb2_499	1
CarAnox_mtb2_1023	1770
CarAnox_mtb2_209	542509
CarAnox_mtb2_654	1265
CarAnox_mtb2_1261	31
CarAnox_mtb2_728	21338
CarAnox_mtb2_1162	9
CarAnox_mtb2_1302	80
CarAnox_mtb2_259	45
CarAnox_mtb2_1353	2147
CarAnox_mtb2_1424	40
CarAnox_mtb2_49	1261
