Genome	D2a900BN_R1_paired.fastq.gz Read Count
CarAnox_mtb2_382	32
CarAnox_mtb2_187	691
CarAnox_mtb2_275	32166
CarAnox_mtb2_1312	27836
CarAnox_mtb2_1002	3384
CarAnox_mtb2_281	2582
CarAnox_mtb2_1394	1451
CarAnox_mtb2_1283	14830177
CarAnox_mtb2_1221	29290
CarAnox_mtb2_929	162
CarAnox_mtb2_773	1313
CarAnox_mtb2_1620	6214
CarAnox_mtb2_804	1420
CarAnox_mtb2_1528	1325
CarAnox_mtb2_47	435
CarAnox_mtb2_418	358
CarAnox_mtb2_1510	83190
CarAnox_mtb2_205	77
CarAnox_mtb2_919	56532
CarAnox_mtb2_406	836
CarAnox_mtb2_1509	9041
CarAnox_mtb2_824	1145
CarAnox_mtb2_106	30006
CarAnox_mtb2_1396	621738
CarAnox_mtb2_1551	24172
CarAnox_mtb2_1199	453
CarAnox_mtb2_451	137469
CarAnox_mtb2_1564	121203
CarAnox_mtb2_200	27136
CarAnox_mtb2_110	1931
CarAnox_mtb2_1578	198
CarAnox_mtb2_769	363
CarAnox_mtb2_541	103
CarAnox_mtb2_946	66
CarAnox_mtb2_699	2564
CarAnox_mtb2_499	5294
CarAnox_mtb2_1023	2090
CarAnox_mtb2_209	405
CarAnox_mtb2_654	134778
CarAnox_mtb2_1261	121
CarAnox_mtb2_728	3463
CarAnox_mtb2_1162	184
CarAnox_mtb2_1302	7879
CarAnox_mtb2_259	2015
CarAnox_mtb2_1353	381
CarAnox_mtb2_1424	799
CarAnox_mtb2_49	215272
