Genome	D2b247A_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1320	34433
CarAnox_mtb2_336	7160
CarAnox_mtb2_1562	960
CarAnox_mtb2_213	847683
CarAnox_mtb2_83	5785
CarAnox_mtb2_164	337
CarAnox_mtb2_313	76271
CarAnox_mtb2_400	27975
CarAnox_mtb2_421	83
CarAnox_mtb2_1600	16081
CarAnox_mtb2_888	32782
CarAnox_mtb2_1536	3722
CarAnox_mtb2_1101	37
CarAnox_mtb2_707	6292
CarAnox_mtb2_153	639
CarAnox_mtb2_786	65052
CarAnox_mtb2_206	146071
CarAnox_mtb2_557	22
CarAnox_mtb2_349	18746
CarAnox_mtb2_1053	118828
CarAnox_mtb2_301	485
CarAnox_mtb2_809	3460
CarAnox_mtb2_1556	49856
CarAnox_mtb2_128	23676
CarAnox_mtb2_1446	101
CarAnox_mtb2_1552	2069
CarAnox_mtb2_1559	4121
CarAnox_mtb2_1679	27919
CarAnox_mtb2_1425	244
CarAnox_mtb2_516	26
CarAnox_mtb2_941	5803
CarAnox_mtb2_828	29511
CarAnox_mtb2_739	8948
CarAnox_mtb2_1274	581
CarAnox_mtb2_30	70
CarAnox_mtb2_750	1143
CarAnox_mtb2_608	2535
CarAnox_mtb2_572	45954
CarAnox_mtb2_1146	166
CarAnox_mtb2_1398	6217
CarAnox_mtb2_596	3738
CarAnox_mtb2_243	197779
CarAnox_mtb2_1149	25566
CarAnox_mtb2_361	137
CarAnox_mtb2_938	5964
CarAnox_mtb2_908	487223
CarAnox_mtb2_121	49338
CarAnox_mtb2_713	100
CarAnox_mtb2_1080	40
CarAnox_mtb2_781	37149
CarAnox_mtb2_798	65081
CarAnox_mtb2_1422	289
CarAnox_mtb2_996	1427738
CarAnox_mtb2_535	506
CarAnox_mtb2_1253	619
CarAnox_mtb2_715	633
CarAnox_mtb2_621	61605
CarAnox_mtb2_1042	82785
CarAnox_mtb2_614	4301
CarAnox_mtb2_1447	86252
CarAnox_mtb2_116	6232
CarAnox_mtb2_244	1621
CarAnox_mtb2_704	5620
CarAnox_mtb2_492	199270
CarAnox_mtb2_1352	194
CarAnox_mtb2_768	68
CarAnox_mtb2_853	22480
CarAnox_mtb2_31	400
CarAnox_mtb2_464	10023
CarAnox_mtb2_942	74
CarAnox_mtb2_1019	854
CarAnox_mtb2_1375	44
CarAnox_mtb2_310	2783
CarAnox_mtb2_1268	3066
CarAnox_mtb2_636	1128
CarAnox_mtb2_512	23
CarAnox_mtb2_595	14404
CarAnox_mtb2_1284	144
CarAnox_mtb2_59	727481
CarAnox_mtb2_1105	187
CarAnox_mtb2_719	182
CarAnox_mtb2_1356	6972
CarAnox_mtb2_1570	480
CarAnox_mtb2_1503	67
CarAnox_mtb2_1244	11304
CarAnox_mtb2_1109	3370
CarAnox_mtb2_216	125407
CarAnox_mtb2_660	47
CarAnox_mtb2_820	150997
CarAnox_mtb2_762	69
CarAnox_mtb2_1264	2282
CarAnox_mtb2_997	25329
CarAnox_mtb2_42	23536
CarAnox_mtb2_1263	416
CarAnox_mtb2_292	42334
CarAnox_mtb2_1649	34
CarAnox_mtb2_1604	327
CarAnox_mtb2_1464	9369
CarAnox_mtb2_1392	494
CarAnox_mtb2_1225	231397
CarAnox_mtb2_479	122
CarAnox_mtb2_740	902
CarAnox_mtb2_1220	87675
CarAnox_mtb2_616	1128
CarAnox_mtb2_1419	310155
CarAnox_mtb2_423	660
CarAnox_mtb2_358	1199
CarAnox_mtb2_343	2700
CarAnox_mtb2_920	424
CarAnox_mtb2_463	1392
CarAnox_mtb2_1423	1015
CarAnox_mtb2_633	13594
CarAnox_mtb2_868	535
CarAnox_mtb2_1650	489
CarAnox_mtb2_1415	260
CarAnox_mtb2_877	43929
CarAnox_mtb2_147	456
CarAnox_mtb2_1518	23372
CarAnox_mtb2_1270	103674
CarAnox_mtb2_1438	27193
CarAnox_mtb2_959	209
CarAnox_mtb2_1246	20325
CarAnox_mtb2_971	175
CarAnox_mtb2_1057	827
CarAnox_mtb2_645	12742
CarAnox_mtb2_501	15008
CarAnox_mtb2_43	4169
CarAnox_mtb2_1579	2178
CarAnox_mtb2_99	3150
CarAnox_mtb2_1538	60
CarAnox_mtb2_603	99632
CarAnox_mtb2_568	164
CarAnox_mtb2_1594	177
CarAnox_mtb2_154	19534
CarAnox_mtb2_944	1264
CarAnox_mtb2_785	941
CarAnox_mtb2_741	6692943
CarAnox_mtb2_954	78216
CarAnox_mtb2_1214	342
CarAnox_mtb2_218	579742
CarAnox_mtb2_428	1749
CarAnox_mtb2_382	67186
CarAnox_mtb2_187	32848
CarAnox_mtb2_275	31
CarAnox_mtb2_1312	472
CarAnox_mtb2_1002	2237400
CarAnox_mtb2_281	287
CarAnox_mtb2_1394	119
CarAnox_mtb2_1283	26664
CarAnox_mtb2_1221	27
CarAnox_mtb2_929	99488
CarAnox_mtb2_773	146581
CarAnox_mtb2_1620	465
CarAnox_mtb2_804	1549
CarAnox_mtb2_1528	33368
CarAnox_mtb2_47	10397
CarAnox_mtb2_418	445595
CarAnox_mtb2_1510	927
CarAnox_mtb2_205	168151
CarAnox_mtb2_919	868
CarAnox_mtb2_406	1740
CarAnox_mtb2_1509	894
CarAnox_mtb2_824	2102
CarAnox_mtb2_106	149
CarAnox_mtb2_1396	13474
CarAnox_mtb2_1551	41192
CarAnox_mtb2_1199	293722
CarAnox_mtb2_451	163
CarAnox_mtb2_1564	56
CarAnox_mtb2_200	7360
CarAnox_mtb2_110	19565
CarAnox_mtb2_1578	2431
CarAnox_mtb2_769	275
CarAnox_mtb2_541	386969
CarAnox_mtb2_946	2179
CarAnox_mtb2_699	218
CarAnox_mtb2_499	114
CarAnox_mtb2_1023	2836
CarAnox_mtb2_209	111709
CarAnox_mtb2_654	6325
CarAnox_mtb2_1261	49505
CarAnox_mtb2_728	839802
CarAnox_mtb2_1162	789
CarAnox_mtb2_1302	22744
CarAnox_mtb2_259	400
CarAnox_mtb2_1353	2157
CarAnox_mtb2_1424	21251
CarAnox_mtb2_49	1373
