Genome	D2b143B_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1270	829
CarAnox_mtb2_1438	70
CarAnox_mtb2_959	17
CarAnox_mtb2_1246	137
CarAnox_mtb2_971	183
CarAnox_mtb2_1057	10
CarAnox_mtb2_645	41908
CarAnox_mtb2_501	11600
CarAnox_mtb2_43	229
CarAnox_mtb2_1579	13
CarAnox_mtb2_99	36
CarAnox_mtb2_1538	10
CarAnox_mtb2_603	544235
CarAnox_mtb2_568	17
CarAnox_mtb2_1594	19
CarAnox_mtb2_154	32
CarAnox_mtb2_944	44
CarAnox_mtb2_785	38
CarAnox_mtb2_741	226784
CarAnox_mtb2_954	145
CarAnox_mtb2_1214	4
CarAnox_mtb2_218	603
CarAnox_mtb2_428	162
CarAnox_mtb2_382	91237
CarAnox_mtb2_187	962
CarAnox_mtb2_275	34
CarAnox_mtb2_1312	37
CarAnox_mtb2_1002	558
CarAnox_mtb2_281	10360
CarAnox_mtb2_1394	14
CarAnox_mtb2_1283	3893
CarAnox_mtb2_1221	8
CarAnox_mtb2_929	437
CarAnox_mtb2_773	1766
CarAnox_mtb2_1620	48
CarAnox_mtb2_804	14
CarAnox_mtb2_1528	83
CarAnox_mtb2_47	119
CarAnox_mtb2_418	107349
CarAnox_mtb2_1510	50
CarAnox_mtb2_205	2067
CarAnox_mtb2_919	90
CarAnox_mtb2_406	33
CarAnox_mtb2_1509	14
CarAnox_mtb2_824	56
CarAnox_mtb2_106	61
CarAnox_mtb2_1396	180
CarAnox_mtb2_1551	178
CarAnox_mtb2_1199	96
CarAnox_mtb2_451	127
CarAnox_mtb2_1564	21
CarAnox_mtb2_200	110
CarAnox_mtb2_110	256
CarAnox_mtb2_1578	20
CarAnox_mtb2_769	246
CarAnox_mtb2_541	455221
CarAnox_mtb2_946	489
CarAnox_mtb2_699	11460
CarAnox_mtb2_499	5
CarAnox_mtb2_1023	50
CarAnox_mtb2_209	5112
CarAnox_mtb2_654	213
CarAnox_mtb2_1261	81
CarAnox_mtb2_728	1271
CarAnox_mtb2_1162	20
CarAnox_mtb2_1302	92
CarAnox_mtb2_259	58
CarAnox_mtb2_1353	44
CarAnox_mtb2_1424	111
CarAnox_mtb2_49	87
