Genome	D3a900BM_R1_paired.fastq.gz Read Count
CarAnox_mtb2_209	54
CarAnox_mtb2_654	18312
CarAnox_mtb2_1261	57
CarAnox_mtb2_728	502
CarAnox_mtb2_1162	196
CarAnox_mtb2_1302	3444
CarAnox_mtb2_259	9267
CarAnox_mtb2_1353	32
CarAnox_mtb2_1424	9474
CarAnox_mtb2_49	17735
