Genome	D2a900AN_R1_paired.fastq.gz Read Count
CarAnox_mtb2_31	211913
CarAnox_mtb2_464	185286
CarAnox_mtb2_942	63990
CarAnox_mtb2_1019	20772
CarAnox_mtb2_1375	95
CarAnox_mtb2_310	97
CarAnox_mtb2_1268	516666
CarAnox_mtb2_636	52889
CarAnox_mtb2_512	13754
CarAnox_mtb2_595	25
CarAnox_mtb2_1284	96048
CarAnox_mtb2_59	1147
CarAnox_mtb2_1105	7881
CarAnox_mtb2_719	35988
CarAnox_mtb2_1356	88241
CarAnox_mtb2_1570	89352
CarAnox_mtb2_1503	18821
CarAnox_mtb2_1244	58
CarAnox_mtb2_1109	309122
CarAnox_mtb2_216	92
CarAnox_mtb2_660	28276
CarAnox_mtb2_820	494
CarAnox_mtb2_762	2667
CarAnox_mtb2_1264	524713
CarAnox_mtb2_997	20
CarAnox_mtb2_42	32224
CarAnox_mtb2_1263	88073
CarAnox_mtb2_292	338525
CarAnox_mtb2_1649	2864
CarAnox_mtb2_1604	44768
CarAnox_mtb2_1464	62
CarAnox_mtb2_1392	72560
CarAnox_mtb2_1225	30
CarAnox_mtb2_479	10704
CarAnox_mtb2_740	43
CarAnox_mtb2_1220	126
CarAnox_mtb2_616	290346
CarAnox_mtb2_1419	24
CarAnox_mtb2_423	26609
CarAnox_mtb2_358	30394
CarAnox_mtb2_343	98589
CarAnox_mtb2_920	127021
CarAnox_mtb2_463	4414
CarAnox_mtb2_1423	27397
CarAnox_mtb2_633	176901
CarAnox_mtb2_868	5138
CarAnox_mtb2_1650	283276
CarAnox_mtb2_1415	436
CarAnox_mtb2_877	361397
CarAnox_mtb2_147	8412
CarAnox_mtb2_1518	499079
CarAnox_mtb2_1270	349210
CarAnox_mtb2_1438	51
CarAnox_mtb2_959	64
CarAnox_mtb2_1246	82
CarAnox_mtb2_971	69277
CarAnox_mtb2_1057	28
CarAnox_mtb2_645	35476
CarAnox_mtb2_501	13555
CarAnox_mtb2_43	45405
CarAnox_mtb2_1579	7993
CarAnox_mtb2_99	233
