Genome	D2b900AN_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1352	96699
CarAnox_mtb2_768	17588
CarAnox_mtb2_853	1920
CarAnox_mtb2_31	350275
CarAnox_mtb2_464	299306
CarAnox_mtb2_942	44998
CarAnox_mtb2_1019	34994
CarAnox_mtb2_1375	17306
CarAnox_mtb2_310	156
CarAnox_mtb2_1268	729493
CarAnox_mtb2_636	67946
CarAnox_mtb2_512	29666
CarAnox_mtb2_595	39
CarAnox_mtb2_1284	130370
CarAnox_mtb2_59	1515
CarAnox_mtb2_1105	10267
CarAnox_mtb2_719	60056
CarAnox_mtb2_1356	143804
CarAnox_mtb2_1570	126299
CarAnox_mtb2_1503	26849
CarAnox_mtb2_1244	74
CarAnox_mtb2_1109	434267
CarAnox_mtb2_216	167
CarAnox_mtb2_660	27794
CarAnox_mtb2_820	982
CarAnox_mtb2_762	2989
CarAnox_mtb2_1264	907092
CarAnox_mtb2_997	25
CarAnox_mtb2_42	50594
CarAnox_mtb2_1263	155929
CarAnox_mtb2_292	479667
CarAnox_mtb2_1649	3585
CarAnox_mtb2_1604	52027
CarAnox_mtb2_1464	84
CarAnox_mtb2_1392	109991
CarAnox_mtb2_1225	74
CarAnox_mtb2_479	16269
CarAnox_mtb2_740	58
CarAnox_mtb2_1220	205
CarAnox_mtb2_616	448292
CarAnox_mtb2_1419	50
CarAnox_mtb2_423	54412
CarAnox_mtb2_358	41850
CarAnox_mtb2_343	368905
CarAnox_mtb2_920	181347
CarAnox_mtb2_463	6805
CarAnox_mtb2_1423	36884
CarAnox_mtb2_633	382394
CarAnox_mtb2_868	7589
CarAnox_mtb2_1650	351810
CarAnox_mtb2_1415	473
CarAnox_mtb2_877	500106
CarAnox_mtb2_147	10984
CarAnox_mtb2_1518	739901
CarAnox_mtb2_1270	545850
CarAnox_mtb2_1438	89
CarAnox_mtb2_959	100
CarAnox_mtb2_1246	118
CarAnox_mtb2_971	95619
CarAnox_mtb2_1057	35
CarAnox_mtb2_645	50933
CarAnox_mtb2_501	20277
CarAnox_mtb2_43	66105
CarAnox_mtb2_1579	12247
CarAnox_mtb2_99	375
CarAnox_mtb2_1538	49976
CarAnox_mtb2_603	150
CarAnox_mtb2_568	93509
CarAnox_mtb2_1594	78822
CarAnox_mtb2_154	308544
CarAnox_mtb2_944	68
CarAnox_mtb2_785	256543
CarAnox_mtb2_741	10685
CarAnox_mtb2_954	1162476
CarAnox_mtb2_1214	9017
CarAnox_mtb2_218	2865
CarAnox_mtb2_428	314325
CarAnox_mtb2_382	33
CarAnox_mtb2_187	352
CarAnox_mtb2_275	3121
CarAnox_mtb2_1312	8631
CarAnox_mtb2_1002	4919
CarAnox_mtb2_281	122
CarAnox_mtb2_1394	64213
CarAnox_mtb2_1283	363752
CarAnox_mtb2_1221	9976
CarAnox_mtb2_929	6431
CarAnox_mtb2_773	186
CarAnox_mtb2_1620	345764
CarAnox_mtb2_804	276028
CarAnox_mtb2_1528	546725
CarAnox_mtb2_47	95989
CarAnox_mtb2_418	309
CarAnox_mtb2_1510	57041
CarAnox_mtb2_205	63
CarAnox_mtb2_919	974
CarAnox_mtb2_406	139789
CarAnox_mtb2_1509	2915
CarAnox_mtb2_824	261154
CarAnox_mtb2_106	10907
CarAnox_mtb2_1396	879345
CarAnox_mtb2_1551	20251
CarAnox_mtb2_1199	91621
CarAnox_mtb2_451	37080
CarAnox_mtb2_1564	17783
CarAnox_mtb2_200	59522
CarAnox_mtb2_110	856832
CarAnox_mtb2_1578	92180
CarAnox_mtb2_769	199
CarAnox_mtb2_541	385
CarAnox_mtb2_946	138
CarAnox_mtb2_699	156
CarAnox_mtb2_499	37562
CarAnox_mtb2_1023	698
CarAnox_mtb2_209	189
CarAnox_mtb2_654	172254
CarAnox_mtb2_1261	7156
CarAnox_mtb2_728	1913
CarAnox_mtb2_1162	82629
CarAnox_mtb2_1302	5273726
CarAnox_mtb2_259	71357
CarAnox_mtb2_1353	196
CarAnox_mtb2_1424	538158
CarAnox_mtb2_49	164942
