Genome	D3a900AM_R1_paired.fastq.gz Read Count
CarAnox_mtb2_944	58
CarAnox_mtb2_785	96626
CarAnox_mtb2_741	4058
CarAnox_mtb2_954	706389
CarAnox_mtb2_1214	3108
CarAnox_mtb2_218	4063
CarAnox_mtb2_428	184146
CarAnox_mtb2_382	20
CarAnox_mtb2_187	250
CarAnox_mtb2_275	246
CarAnox_mtb2_1312	5130
CarAnox_mtb2_1002	10786
CarAnox_mtb2_281	200131
CarAnox_mtb2_1394	39109
CarAnox_mtb2_1283	279450
CarAnox_mtb2_1221	4532
CarAnox_mtb2_929	6603
CarAnox_mtb2_773	173
CarAnox_mtb2_1620	309812
CarAnox_mtb2_804	153947
CarAnox_mtb2_1528	436645
CarAnox_mtb2_47	71551
CarAnox_mtb2_418	103
CarAnox_mtb2_1510	16456
CarAnox_mtb2_205	45
CarAnox_mtb2_919	2321
CarAnox_mtb2_406	204534
CarAnox_mtb2_1509	1249
CarAnox_mtb2_824	293893
CarAnox_mtb2_106	8918
CarAnox_mtb2_1396	120206
CarAnox_mtb2_1551	8530
CarAnox_mtb2_1199	54649
CarAnox_mtb2_451	9703
CarAnox_mtb2_1564	9095
CarAnox_mtb2_200	20219
CarAnox_mtb2_110	844899
CarAnox_mtb2_1578	122151
CarAnox_mtb2_769	88
CarAnox_mtb2_541	341
CarAnox_mtb2_946	96
CarAnox_mtb2_699	17
CarAnox_mtb2_499	18027
CarAnox_mtb2_1023	258
CarAnox_mtb2_209	154
CarAnox_mtb2_654	26125
CarAnox_mtb2_1261	4247
CarAnox_mtb2_728	1009
CarAnox_mtb2_1162	142623
CarAnox_mtb2_1302	4333837
CarAnox_mtb2_259	81362
CarAnox_mtb2_1353	65
CarAnox_mtb2_1424	87612
CarAnox_mtb2_49	49732
